Šifra artikla,EAN,Cena B2B,Cena B2C,DDV,VID trenutna zaloga,VID naročena količina,VID količina za odpremo,VID razpoložljiva količina,VID naročena količina dobaviteljem,Dobavitelj zaloga,Dobavitelj naročena zaloga,Dobavitelj datum,Skladišče,Rabatna skupina artikla,Rabatna skupina ERP,Popust odprodaje %
BA.BH04.00561,5949097726569,13.38,13.38,22,19,0,0,19,0,1479,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00800,5949097723810,12.82,12.82,22,11,0,0,11,0,1272,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00801,5949097723827,12.82,12.82,22,,,,,,371,,,,BA,BA,0
BA.BH04.00810,5949097720536,12.82,12.82,22,4,0,0,4,0,976,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00811,5949097720543,12.82,12.82,22,4,0,0,4,0,832,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00820,5949097720550,26.98,26.98,22,7,0,0,7,0,1511,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00821,5949097720567,26.98,26.98,22,8,0,0,8,0,960,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00830,5949097720574,40.03,40.03,22,8,0,0,8,0,762,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00831,5949097720581,40.03,40.03,22,2,0,0,2,0,756,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00861,5949097748103,96.72,96.72,22,3,0,0,3,0,360,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH04.00900,5949097728211,13.71,13.71,22,,,,,,311,,,,BA,BA,0
BA.BH04.00901,5949097728228,13.71,13.71,22,,,,,,576,,,,BA,BA,0
BA.BH07.03000,5949097701450,25,25,22,8,0,0,8,0,520,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH07.03001,5949097701467,12.38,24.44,22,1,0,0,1,0,460,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH07.03100,5949097701474,25,25,22,17,0,0,17,0,116,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH07.03300,5949097701511,36.67,36.67,22,,,,,,,,,,BA,BA,0
BA.BH07.03301,5949097701528,36.67,36.67,22,3,0,0,3,0,,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH07.03401,5949097734342,50.56,50.56,22,,,,,,560,,,,BA,BA,0
BA.BH07.03501,5949097736933,74.44,74.44,22,,,,,,700,,,,BA,BA,0
BA.BH07.03601,5949097734335,87.78,87.78,22,,,,,,410,,,,BA,BA,0
BA.BH07.03700,5949097736940,56.67,56.67,22,,,,,,190,,,,BA,BA,0
BA.BH07.03701,5949097736957,56.67,56.67,22,1,0,0,1,0,130,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH07.04101,5949097727429,60,60,22,,,,,,408,,,,BA,BA,0
BA.BH07.04106,5949097727832,65.56,65.56,22,,,,,,396,,,,BA,BA,0
BA.BH07.04201,5949097734199,28.4,66.67,22,1,0,0,1,0,220,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH07.04206,5949097734205,71.11,71.11,22,,,,,,260,,,,BA,BA,0
BA.BH15.01100,5949097706080,15.12,33.33,22,,,,,,,,,,VD0,VD0,0
BA.BH15.01130,5949097706097,15.12,33.33,22,37,0,0,37,0,290,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
