Angleska vrednost;Jezik;Prevodi v preglednici;Vrstice v preglednici;KATERA LASTNOST (Domain) za kateri prevod
Load guard;DE;Strombegrenzer | load guard;2651 2681;
Load guard;HR;Limitator struje | load guard;2651 2681;
Load guard;SL;Tokovni omejilnik | load guard;2651 2681;
MAX power;SL;MAX moč | Max. moč;799 800;
Magnetic field tester;DE;Berührungsloser Magnetfeldtester | Magnetfeld-Prüfer;60 2469;
Magnetic field tester;HR;Ispitivač magnetnog polja | Tester magnetskog polja;60 2469;
Magnetic field tester;SL;Preizkuševalec magnetnega polja | Tester magnetnega polja;60 2469;
Modern and contemporary;SL;Moderna in sodobna | Moderni in sodobni;109 850;
Motion detector;DE;BewegungScrewdriveretektoren | Bewegungsmelder;1374 1375;
Motion detector;HR;Senzor pokreta | Senzori pokreta;1374 1375;
Motion detector;SL;Senzor gibanja | Senzorji gibanja;1374 1375;
Mounting plate;HR;Montažna ploćica | Montažna ploča;854 856 1970;
Mounting plate;SL;Montažna plošča | Montažna ploščica | Pregradna montažna plošča;854 856 1970;
Number of zones;SL;Število con | Število con (zone);114 1534;
Office;SL;Pisarna | pisarniška;1096 1098;
Operation;DE;Bedienung | Betrieb;362 1654;
Operation;SL;Delovanje | Upravljanje;362 1654;
Oriental;SL;Orientalna | Orientalni;110 1047;
Output voltage;SL;Izhodna napetost | Napajalna napetost do;565 903;
PE/N busbars;DE;PE/N Sammelschiene | Sammelschiene PE/N;1073 1911;
PE/N busbars;SL;PE/N zbiralk | Zbiralke PE/N;1073 1911;
PROFILE TRACK lights;HR;Šinska rasvjeta | Šinske svetiljke;1614 1616;
PROFILE TRACK lights;SL;Tračna svetila | Tračne luči;1614 1616;
Packing;DE;Packüng | Verpackung | Verpackungs-;1062 1063 2288 2374;
Packing;HR;Način pakiranja | Pakiranje | Pakirna;1062 1063 2288 2374;
Packing;SL;Enota pak.na artikel | Način pakiranja | Pakiranje | Pakirna;1062 1063 2288 2374;
Power strip;HR;Produžni kabel | Višestruka utičnica;1123 1272;
Power strip;SL;Podaljšek | Razdelilec;1123 1272;
Power supply;DE;Driver | Stromversorgung;906 909;
Power supply;SL;Napajalnik | Napajanje;906 909;
Presence;DE;Präsence | Präsenz;1227 2408;
Presence;HR;Prisutnost | prisutnosti;1227 2408;
Presence;SL;Prisotnost | prisotnosti;1227 2408;
Push button;DE;Knopft | Push Button | Taster;810 1598 2363;
Push button;HR;Push Button | Tipkalo;810 1598 2363;
Push button;SL;"<p><span style=""color: rgb(46, 48, 56);"">It is a switch with a completely classic dimming with a potentiometer or&nbsp; . Z vrtenjem stikala zmanjšujete ali povečujete električno&nbsp;energijo, kar omogoča, da svetilka sveti v polni moči ali vse do zmanjšane jakosti.</span></p> | Push Button | Tipkalo";810 1598 2363;
RGB;DE;RGB | RGB Steckerdose;1322 1325;
RGB;HR;RGB | RGB utičnica;1322 1325;
RGB;SL;RGB | RGB vtičnica;1322 1325;
Recessed distribution box;SL;Podometna doza | vgradna doza;1133 1692;
Remote control;DE;Fernbedienung | Fernsteuern;102 127 2692;
Remote control;SL;Daljinec | Daljinski upravljalnik | z daljinjskim upravljalnikom;102 127 2692;
Rustical;SL;Rustikalna | Rustikalni;113 1348;
Shade;SL;Senčilo | senčnik;1370 1371;
Stairway;SL;Stopnišče | stopniščna;1477 1478;
Suitable for;SL;Primeren za | Primerno za;9 1223;
Switch;SL;Enopolno stikalo | Stikalo;1467 2159;
TV socket;SL;TV vtičnica | Televizijska vtičnica;2160 2193;
Tensile strength;SL;Natezna trdnost | Zatezna trdnost;933 1908;
Torches;DE;Batterielampe | Batterielampen;257 258;
Torches;SL;Baterijske luči | Baterijske svetilke;257 258;
Traditional;SL;Tradicionalna | Tradicionalni;115 1620;
Transparency;SL;Prosojnost | Transparentnost;1241 1624;
Two way switch;SL;Dvopolno stikalo | Menjalno stikalo;2152 2182;
Type 2;HR;TIP2 | Tip 2;1582 1590 1737;
Type 2;SL;TIP2 | Tip 2 | Vrsta 2;1582 1590 1737;
Type 3;SL;Tip 3 | Tip3;1583 1592;
UV green;HR;UV zelena | UV zelene;1662 2005;
UV green;SL;UV zelena | UV zelene;1662 2005;
Voltage tester;DE;Spannungsprüfer | Spannungstester;61 2730;
Voltage tester;SL;Detektor napetosti | Preizkuševalec napetosti;61 2730;
Voltage-free cable finder;SL;Breznapetostni iskalec kablov | Mrežni tester;294 295;
Volume;DE;Lautstärke | Volumen;488 1243;
Volume;SL;Glasnost | Prostornina;488 1243;
Wall holder;HR;Zidni držak | Zidni držalac;969 1459;
Wall holder;SL;Nosilec stenski | Stenski nosilec;969 1459;
Wallstand for remote control;SL;Stensko stojalo za daljinec | Stensko stojalo za daljinski upravljalnik;1464 1465;
Zip tie;DE;Kabelbinder | Verbindungsband;1681 1684;
Zip tie;HR;Vezica | spojna traka;1681 1684;
Zip tie;SL;Vezica | vezni trak;1681 1684;
acryl;SL;acryl | akril;187 189;
alu- anodized;HR;alu-anodiziran | alu-anodizirana;193 199;
alu- anodized;SL;alu- anodiziran | alu-anodizirana;193 199;
alu- black anodized;HR;alu-crna anodizirana | alu-crni anodiziran;194 200;
alu- black anodized;SL;alu- črn anodiziran | alu-črna anodizirana;194 200;
amber;SL;AMBER | jantarna;2223 2466;
anodized;HR;anodiziran | anodizirana;209 210;
anodized;SL;anodiziran | anodizirana;209 210;
