Entiteta;Zapis;Pot v XML;Pojavitev;Polnih;Vzorci vrednosti;Kanonicna koda (danes);Preslikano;Kam naj gre (izpolni)
Prices;Price;Quantity4;3000;0 %;;;;(vedno prazno v tem odgovoru)
Prices;Price;PriceForQuantity4;3000;0 %;;;;(vedno prazno v tem odgovoru)
Prices;Price;Quantity5;3000;0 %;;;;(vedno prazno v tem odgovoru)
Prices;Price;PriceForQuantity5;3000;0 %;;;;(vedno prazno v tem odgovoru)
Prices;Price;ItemOrganisationID;3000;100 %;2;;;predlog: ne rabimo (podjetje je ze v zajemu)
Prices;Price;CustomerOrganisationID;3000;100 %;2;;;predlog: ne rabimo (podjetje je ze v zajemu)
Prices;Price;ItemEAN;1;100 %;4039677003539;Product.EAN;DA;(ze preslikano)
Warehouses;Warehouse;WarehouseId;7;100 %;0000001 | 0000002 | 0000003;Warehouse.Code;DA;(ze preslikano)
Warehouses;Warehouse;WarehouseDescription;7;100 %;Rakovnik 9 | Škofije | Brnčičeva;Warehouse.Name;DA;(ze preslikano)
Warehouses;Warehouse;WarehouseType;7;100 %;V;Warehouse.Type;DA;(ze preslikano)
Warehouses;Warehouse;Active;7;100 %;true | false;Warehouse.IsActive;DA;(ze preslikano)
Warehouses;Warehouse;FIFORecalculation;7;100 %;true;;;predlog: ne rabimo (ERP notranje)
Warehouses;Warehouse;PlanningExcluded;7;100 %;false | true;;;canon.Warehouse -> izlocen iz planiranja
Warehouses;Warehouse;WMSCompentence;7;100 %;false;;;predlog: ne rabimo (ERP notranje)
Warehouses;Warehouse;MITActive;7;100 %;false;;;predlog: ne rabimo (ERP notranje)
Warehouses;Warehouse;SeriesManagement;7;100 %;true;;;predlog: ne rabimo (ERP notranje)
Warehouses;Warehouse;InventoryManagement;7;100 %;true;;;predlog: ne rabimo (ERP notranje)
Warehouses;Warehouse;InsUpdDate;7;100 %;2022-01-22T08:30:15.02 | 2022-01-22T08:26:45.96 | 2022-01-22T08:27:03.857;;;predlog: ne rabimo (ERP notranje)
