Šifra artikla,EAN,Cena B2B,Cena B2C,DDV,VID trenutna zaloga,VID naročena količina,VID količina za odpremo,VID razpoložljiva količina,VID naročena količina dobaviteljem,Dobavitelj zaloga,Dobavitelj naročena zaloga,Dobavitelj datum,Skladišče,Rabatna skupina artikla,Rabatna skupina ERP,Popust odprodaje %
NW.4418,5903139441896,,,22,,,,,,13,,,,NOWODVORSKI,NOWODVORSKI,0
NW.4420,5903139442091,,,22,,,,,,235,,,,NOWODVORSKI,NOWODVORSKI,0
NW.4421,5903139442190,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.4422,5903139442299,,,22,,,,,,215,200,11.12.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.4423,5903139442398,,,22,,,,,,203,600,11.12.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.4424,5903139442497,,,22,,,,,,682,500,30.11.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.4425,5903139442596,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.4440,5903139444095,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.4443,5903139444392,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.4446,5903139444699,,,22,,,,,,0,371,05.11.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.4448,5903139444897,,,22,,,,,,0,,,,NOWODVORSKI,NOWODVORSKI,0
NW.4453,5903139445399,,,22,,,,,,31,200,05.11.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.4454,5903139445498,,,22,,,,,,0,,,,NOWODVORSKI,NOWODVORSKI,0
NW.4686,5903139468695,,,22,,,,,,229,,,,NOWODVORSKI,NOWODVORSKI,0
NW.4687,5903139468794,,,22,,,,,,132,,,,NOWODVORSKI,NOWODVORSKI,0
NW.4692,5903139469296,,,22,,,,,,279,,,,NOWODVORSKI,NOWODVORSKI,0
NW.4694,5903139469494,,,22,,,,,,41,100,17.11.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.4698,5903139469890,,,22,,,,,,173,102,11.12.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.4906,5903139490696,84.2,,22,,,,,,52,200,26.11.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.4907,5903139490795,,,22,,,,,,331,,,,NOWODVORSKI,NOWODVORSKI,0
NW.4961,5903139496193,,,22,,,,,,19,,,,NOWODVORSKI,NOWODVORSKI,0
NW.4963,5903139496391,,,22,,,,,,13,,,,NOWODVORSKI,NOWODVORSKI,0
NW.5067,5903139506793,,,22,,,,,,14,,,,NOWODVORSKI,NOWODVORSKI,0
NW.5126,5903139512695,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.5255,5903139525596,10.81,,22,,,,,,1546,61,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.5267,5903139526791,,,22,,,,,,57,,,,NOWODVORSKI,NOWODVORSKI,0
NW.5292,5903139529297,,,22,,,,,,0,265,22.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.5294,5903139529495,,,22,,,,,,0,177,22.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.5295,5903139529594,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.5296,5903139529693,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.5397,5903139539791,,,22,,,,,,197,1,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.5398,5903139539890,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.5424,5903139542494,,,22,,,,,,0,,,,NOWODVORSKI,NOWODVORSKI,0
NW.5428,5903139542890,,,22,,,,,,0,,,,NOWODVORSKI,NOWODVORSKI,0
NW.5455,5903139545594,,,22,,,,,,7,50,16.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.5463,5903139546393,19.32,,22,,,,,,187,7,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.5471,5903139547192,22.93,,22,,,,,,0,1,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.5654,5903139565493,,,22,,,,,,0,23,29.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.5844,5903139584494,60.6,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6000,5903139600095,,,22,,,,,,88,100,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6006,5903139600699,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6014,5903139601498,18.02,,22,,,,,,189,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6015,5903139601597,32.44,,22,,,,,,68,2,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6016,5903139601696,47.51,,22,,,,,,245,2,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6017,5903139601795,60.6,,22,,,,,,43,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6018,5903139601894,18.02,,22,,,,,,238,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6020,5903139602099,32.44,,22,,,,,,514,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6021,5903139602198,47.51,,22,,,,,,481,213,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6022,5903139602297,60.6,,22,,,,,,47,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6136,5903139613699,47.51,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6268,5903139626897,,,22,,,,,,0,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6336,5903139633697,,,22,,,,,,41,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6337,5903139633796,,,22,,,,,,201,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6345,5903139634595,,,22,,,,,,34,99,24.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6350,5903139635097,,,22,,,,,,188,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6367,5903139636797,,,22,,,,,,40,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6368,5903139636896,,,22,,,,,,0,9,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6390,5903139639095,,,22,,,,,,1,30,24.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6391,5903139639194,,,22,,,,,,0,64,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6403,5903139640398,,,22,,,,,,639,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6404,5903139640497,,,22,,,,,,0,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6442,5903139644297,,,22,,,,,,6,10,12.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6443,5903139644396,,,22,,,,,,0,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6444,5903139644495,75.66,,22,,,,,,89,2,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6481,5903139648196,,,22,,,,,,51,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6487,5903139648790,,,22,,,,,,36,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6488,5903139648899,,,22,,,,,,23,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6490,5903139649094,,,22,,,,,,30,40,13.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6491,5903139649193,,,22,,,,,,16,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6492,5903139649292,,,22,,,,,,0,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6493,5903139649391,98.94,,22,,,,,,4,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6501,5903139650199,,,22,,,,,,78,100,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6502,5903139650298,,,22,,,,,,103,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6503,5903139650397,,,22,,,,,,82,50,06.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6504,5903139650496,,,22,,,,,,0,53,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6505,5903139650595,,,22,,,,,,15,20,13.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6506,5903139650694,,,22,,,,,,62,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6512,5903139651295,,,22,,,,,,0,2,24.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6513,5903139651394,,,22,,,,,,0,21,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6525,5903139652599,,,22,,,,,,0,68,24.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6526,5903139652698,,,22,,,,,,0,243,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6528,5903139652896,27.83,,22,,,,,,46,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6530,5903139653091,,,22,,,,,,1,50,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6532,5903139653299,,,22,,,,,,0,18,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6541,5903139654197,190.97,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6605,5903139660594,,,22,,,,,,2,20,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6607,5903139660792,96.96,,22,,,,,,137,1,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6611,5903139661195,,,22,,,,,,134,100,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6613,5903139661393,54.71,,22,,,,,,45,1,14.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6640,5903139664097,,,22,,,,,,30,1,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6641,5903139664196,,,22,,,,,,17,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6768,5903139676892,,,22,,,,,,13,20,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6772,5903139677295,,,22,,,,,,2,20,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6773,5903139677394,,,22,,,,,,0,8,29.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6774,5903139677493,,,22,,,,,,7,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6775,5903139677592,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6776,5903139677691,91.73,,22,,,,,,231,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6785,5903139678599,,,22,,,,,,31,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6788,5903139678896,,,22,,,,,,23,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6792,5903139679299,,,22,,,,,,0,100,05.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6812,5903139681292,,,22,,,,,,0,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6836,5903139683692,10.81,,22,,,,,,1547,18,24.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6837,5903139683791,19.32,,22,,,,,,146,120,16.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6838,5903139683890,,,22,,,,,,179,3,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6840,5903139684095,28.18,,22,,,,,,466,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6841,5903139684194,31.11,,22,,,,,,159,200,24.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6842,5903139684293,,,22,,,,,,23,60,21.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6845,5903139684590,170.03,,22,,,,,,0,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6907,5903139690799,,,22,,,,,,717,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6908,5903139690898,37.02,,22,,,,,,460,500,22.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6911,5903139691192,,,22,,,,,,270,200,17.11.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6913,5903139691390,,,22,,,,,,35,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6948,5903139694896,29.16,,22,,,,,,180,216,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6950,5903139695091,,,22,,,,,,155,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6951,5903139695190,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.6976,5903139697699,,,22,,,,,,1633,600,01.01.2027,,NOWODVORSKI,NOWODVORSKI,0
NW.6977,5903139697798,,,22,,,,,,1355,277,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.6978,5903139697897,,,22,,,,,,1011,715,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.7017,5903139701792,,,22,,,,,,362,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8794,5903139879491,,,22,,,,,,4,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8796,5903139879699,,,22,,,,,,124,100,16.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8797,5903139879798,24.58,,22,,,,,,405,250,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8798,5903139879897,,,22,,,,,,51,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8800,5903139880091,54.06,,22,,,,,,97,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8802,5903139880299,,,22,,,,,,34,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8805,5903139880596,,,22,,,,,,418,20,22.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8816,5903139881692,,,22,,,,,,9,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8817,5903139881791,,,22,,,,,,12,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8818,5903139881890,,,22,,,,,,22,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8819,5903139881999,,,22,,,,,,0,23,21.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8820,5903139882095,,,22,,,,,,4,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8823,5903139882392,,,22,,,,,,14,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8824,5903139882491,,,22,,,,,,0,22,24.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8825,5903139882590,,,22,,,,,,49,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8826,5903139882699,,,22,,,,,,0,9,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8834,5903139883498,,,22,,,,,,145,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8835,5903139883597,,,22,,,,,,89,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8836,5903139883696,,,22,,,,,,209,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8837,5903139883795,,,22,,,,,,193,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8838,5903139883894,,,22,,,,,,8,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8841,5903139884198,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8842,5903139884297,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8850,5903139885096,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8851,5903139885195,,,22,,,,,,44,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8857,5903139885799,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8858,5903139885898,,,22,,,,,,0,6,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8863,5903139886390,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8864,5903139886499,,,22,,,,,,20,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8895,5903139889599,,,22,,,,,,183,324,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8896,5903139889698,,,22,,,,,,3,50,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8898,5903139889896,,,22,,,,,,0,30,07.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8900,5903139890090,,,22,,,,,,154,200,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8901,5903139890199,,,22,,,,,,0,36,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8911,5903139891196,18.02,,22,,,,,,294,150,16.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8912,5903139891295,34.72,,22,,,,,,16,80,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8913,5903139891394,45.5,,22,,,,,,6,20,06.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8914,5903139891493,,,22,,,,,,47,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8915,5903139891592,,,22,,,,,,22,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8916,5903139891691,,,22,,,,,,24,20,24.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8917,5903139891790,85.91,,22,,,,,,135,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8918,5903139891899,,,22,,,,,,11,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8920,5903139892094,,,22,,,,,,41,30,16.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8921,5903139892193,223.25,,22,,,,,,11,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8922,5903139892292,,,22,,,,,,8,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8923,5903139892391,,,22,,,,,,68,100,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8924,5903139892490,,,22,,,,,,47,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8925,5903139892599,19,,22,,,,,,417,250,24.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8926,5903139892698,19,,22,,,,,,773,124,24.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8928,5903139892896,19,,22,,,,,,203,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8930,5903139893091,19,,22,,,,,,1077,31,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8931,5903139893190,19,,22,,,,,,1104,100,24.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8932,5903139893299,,,22,,,,,,340,1,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8934,5903139893497,,,22,,,,,,0,9,06.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8935,5903139893596,,,22,,,,,,0,18,25.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8936,5903139893695,,,22,,,,,,40,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8937,5903139893794,,,22,,,,,,101,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8938,5903139893893,,,22,,,,,,29,1,22.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8940,5903139894098,,,22,,,,,,18,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8942,5903139894296,,,22,,,,,,91,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8943,5903139894395,,,22,,,,,,52,60,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8944,5903139894494,,,22,,,,,,0,26,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8945,5903139894593,,,22,,,,,,62,60,16.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8946,5903139894692,,,22,,,,,,4,10,06.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8947,5903139894791,,,22,,,,,,26,20,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8948,5903139894890,,,22,,,,,,9,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8950,5903139895095,,,22,,,,,,21,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8952,5903139895293,,,22,,,,,,67,60,24.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8953,5903139895392,,,22,,,,,,125,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8954,5903139895491,,,22,,,,,,24,30,21.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8955,5903139895590,,,22,,,,,,8,120,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8956,5903139895699,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8957,5903139895798,,,22,,,,,,13,60,01.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8958,5903139895897,,,22,,,,,,0,33,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8960,5903139896092,,,22,,,,,,12,11,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8962,5903139896290,,,22,,,,,,22,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8967,5903139896795,,,22,,,,,,113,100,21.12.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8968,5903139896894,,,22,,,,,,859,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8970,5903139897099,,,22,,,,,,660,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8971,5903139897198,,,22,,,,,,357,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8972,5903139897297,,,22,,,,,,348,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8973,5903139897396,4.77,,22,,,,,,479,300,16.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8974,5903139897495,,,22,,,,,,398,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8975,5903139897594,2.49,,22,,,,,,2364,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8981,5903139898195,,,22,,,,,,0,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8982,5903139898294,,,22,,,,,,0,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8991,5903139899192,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8992,5903139899291,,,22,,,,,,0,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8993,5903139899390,,,22,,,,,,229,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8994,5903139899499,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.8995,5903139899598,,,22,,,,,,147,600,06.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8996,5903139899697,,,22,,,,,,1159,500,17.11.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8997,5903139899796,,,22,,,,,,271,200,25.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.8998,5903139899895,,,22,,,,,,532,500,17.11.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.9000,5903139900096,,,22,,,,,,368,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9001,5903139900195,42.36,,22,,,,,,292,400,17.11.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.9002,5903139900294,,,22,,,,,,661,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9003,5903139900393,,,22,,,,,,165,200,25.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.9004,5903139900492,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9005,5903139900591,,,22,,,,,,0,178,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.9006,5903139900690,,,22,,,,,,23,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9007,5903139900799,,,22,,,,,,168,200,25.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.9012,5903139901291,,,22,,,,,,917,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9013,5903139901390,,,22,,,,,,236,200,21.12.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.9014,5903139901499,,,22,,,,,,176,200,21.12.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.9015,5903139901598,,,22,,,,,,576,500,03.11.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.9018,5903139901895,,,22,,,,,,212,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9021,5903139902199,,,22,,,,,,3,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9022,5903139902298,,,22,,,,,,29,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9023,5903139902397,,,22,,,,,,7,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9024,5903139902496,255.17,,22,,,,,,5,6,21.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.9025,5903139902595,,,22,,,,,,16,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9026,5903139902694,,,22,,,,,,3,8,21.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.9028,5903139902892,,,22,,,,,,44,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9033,5903139903394,,,22,,,,,,0,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9045,5903139904599,,,22,,,,,,140,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9046,5903139904698,,,22,,,,,,18,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9047,5903139904797,,,22,,,,,,9,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9054,5903139905497,,,22,,,,,,16,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9056,5903139905695,,,22,,,,,,36,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9057,5903139905794,,,22,,,,,,23,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9058,5903139905893,,,22,,,,,,57,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9060,5903139906098,,,22,,,,,,46,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9067,5903139906791,35.45,,22,,,,,,18,60,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.9068,5903139906890,,,22,,,,,,288,78,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.9070,5903139907095,,,22,,,,,,305,50,14.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.9071,5903139907194,,,22,,,,,,90,,,,NOWODVORSKI,NOWODVORSKI,0
NW.9072,5903139907293,,,22,,,,,,0,20,21.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.9076,5903139907699,,,22,,,,,,0,,,,NOWODVORSKI,NOWODVORSKI,0
