Šifra artikla,EAN,Cena B2B,Cena B2C,DDV,VID trenutna zaloga,VID naročena količina,VID količina za odpremo,VID razpoložljiva količina,VID naročena količina dobaviteljem,Dobavitelj zaloga,Dobavitelj naročena zaloga,Dobavitelj datum,Skladišče,Rabatna skupina artikla,Rabatna skupina ERP,Popust odprodaje %
F2-PROOF-001,3830000000001,,10,22,,,,,,,,,,SKUPINA,DG,0
NW.203,5903139203999,,,22,,,,,,6,60,06.10.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.205,5903139205993,,,22,,,,,,0,43,24.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.206,5903139206990,,,22,,,,,,25,2,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.3393,5903139339391,50.46,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.3394,5903139339490,141.52,,22,,,,,,52,,,,NOWODVORSKI,NOWODVORSKI,0
NW.3401,5903139340199,,,22,,,,,,4923,5000,05.11.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.3402,5903139340298,,,22,,,,,,297,,,,NOWODVORSKI,NOWODVORSKI,0
NW.3403,5903139340397,36.37,,22,,,,,,214,,,,NOWODVORSKI,NOWODVORSKI,0
NW.3404,5903139340496,60.6,,22,,,,,,578,,,,NOWODVORSKI,NOWODVORSKI,0
NW.3405,5903139340595,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.3408,5903139340892,,,22,,,,,,521,,,,NOWODVORSKI,NOWODVORSKI,0
NW.3411,5903139341196,,,22,,,,,,,,,,NOWODVORSKI,NOWODVORSKI,0
NW.3412,5903139341295,25.88,,22,,,,,,826,,,,NOWODVORSKI,NOWODVORSKI,0
NW.4171,5903139417198,,,22,,,,,,40,7,15.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.4174,5903139417495,83.52,,22,,,,,,1,10,28.09.2026,,NOWODVORSKI,NOWODVORSKI,0
NW.4387,5903139438797,,,22,,,,,,89,,,,NOWODVORSKI,NOWODVORSKI,0
